sample,longitude,latitude
ERS484303,-73.96563,40.78004
ERS484304,-73.95891,40.7947
ERS484305,-73.96556,40.77626
ERS484306,-73.96917,40.77972
ERS484308,-73.9725,40.77544
ERS484309,-73.96332,40.78307
ERS484310,-73.97402,40.77297
ERS484311,-73.96051,40.79036
ERS484312,-73.95876,40.79599
ERS484313,-73.96623,40.77745
ERS484314,-73.97083,40.77725
ERS484315,-73.9664,40.77571
ERS484316,-73.96811,40.77462
ERS484317,-73.96664,40.78436
ERS484318,-73.95816,40.79904
ERS484319,-73.95831,40.79334
ERS484320,-73.97542,40.77512
ERS484321,-73.95959,40.7837
ERS484322,-73.97341,40.76947
ERS484323,-73.95808,40.79592
ERS484324,-73.97109,40.78178
ERS484325,-73.96664,40.77631
ERS484326,-73.95881,40.79903
ERS484327,-73.97227,40.77108
ERS484328,-73.9752,40.76543
ERS484329,-73.9566,40.78735
ERS484330,-73.9663,40.78892
ERS484331,-73.96348,40.79134
ERS484332,-73.9699,40.78097
ERS484333,-73.96731,40.78204
ERS484334,-73.96088,40.79373
ERS484335,-73.97483,40.77404
ERS484336,-73.95462,40.79329
ERS484337,-73.96145,40.79374
ERS484338,-73.97083,40.77054
ERS484339,-73.95351,40.79327
ERS484340,-73.97383,40.76791
ERS484341,-73.96771,40.78234
ERS484342,-73.95859,40.79023
ERS484343,-73.97241,40.77454
ERS484344,-73.95401667,40.79833333
ERS484345,-73.96638,40.78007
ERS484346,-73.95913,40.78361
ERS484347,-73.96291,40.79261
ERS484348,-73.96066,40.78169
ERS484349,-73.96768,40.78717
ERS484350,-73.96737,40.78628
ERS484351,-73.9672,40.784
ERS484352,-73.9673,40.77249
ERS484353,-73.96899,40.78413
ERS484354,-73.965,40.77911
ERS484355,-73.96149,40.79453
ERS484356,-73.96815,40.78156
ERS484357,-73.97363,40.77105
ERS484358,-73.9792,40.76946
ERS484359,-73.95031,40.79705
ERS484360,-73.95522,40.79141
ERS484361,-73.97008,40.77762
ERS484362,-73.96989,40.77998
ERS484363,-73.98047,40.76925
ERS484364,-73.96915,40.77571
ERS484365,-73.97697,40.77291
ERS484366,-73.97057,40.78093
ERS484367,-73.95243,40.79566
ERS484368,-73.95747,40.79918
ERS484369,-73.97352,40.77442
ERS484370,-73.9563,40.78888
ERS484371,-73.95477,40.79225
ERS484372,-73.97318,40.77121
ERS484373,-73.95718,40.79362
ERS484374,-73.97392,40.77525
ERS484375,-73.97735,40.77128
ERS484376,-73.95463,40.79121
ERS484377,-73.95728333,40.79998333
ERS484378,-73.97649,40.76937
ERS484379,-73.98025,40.76988
ERS484380,-73.97403,40.77036
ERS484381,-73.97174,40.76632
ERS484382,-73.96934,40.76967
ERS484383,-73.97094,40.78181
ERS484384,-73.96988,40.77566
ERS484385,-73.96308,40.78261
ERS484386,-73.95776,40.79523
ERS484387,-73.95717,40.78765
ERS484388,-73.96281,40.79331
ERS484389,-73.95107,40.79696
ERS484390,-73.95435,40.79372
ERS484391,-73.97968,40.7678
ERS484392,-73.96499,40.78172
ERS484393,-73.97565,40.76732
ERS484394,-73.96098,40.79429
ERS484395,-73.96712,40.78553
ERS484396,-73.97106,40.77848
ERS484397,-73.95421,40.79195
ERS484398,-73.97112,40.77084
ERS484399,-73.96797,40.77626
ERS484400,-73.96239,40.79129
ERS484401,-73.95284,40.79636
ERS484402,-73.97306,40.7659
